X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
27.2,27.6,27.6,27.2,26.5,26.3,26.2,26.1,26.3,26.6,27.2,27.3,27.6
27.6,27.6,27.2,26.5,26.3,26.2,26.1,26.3,26.6,27.2,27.3,27.6,27.4
27.6,27.2,26.5,26.3,26.2,26.1,26.3,26.6,27.2,27.3,27.6,27.4,27.4
27.2,26.5,26.3,26.2,26.1,26.3,26.6,27.2,27.3,27.6,27.4,27.4,27.3
26.5,26.3,26.2,26.1,26.3,26.6,27.2,27.3,27.6,27.4,27.4,27.3,26.7
26.3,26.2,26.1,26.3,26.6,27.2,27.3,27.6,27.4,27.4,27.3,26.7,25.9
26.2,26.1,26.3,26.6,27.2,27.3,27.6,27.4,27.4,27.3,26.7,25.9,26.1
26.1,26.3,26.6,27.2,27.3,27.6,27.4,27.4,27.3,26.7,25.9,26.1,25.8
26.3,26.6,27.2,27.3,27.6,27.4,27.4,27.3,26.7,25.9,26.1,25.8,26.5
26.6,27.2,27.3,27.6,27.4,27.4,27.3,26.7,25.9,26.1,25.8,26.5,26.5
27.2,27.3,27.6,27.4,27.4,27.3,26.7,25.9,26.1,25.8,26.5,26.5,27.4
27.3,27.6,27.4,27.4,27.3,26.7,25.9,26.1,25.8,26.5,26.5,27.4,27.3
27.6,27.4,27.4,27.3,26.7,25.9,26.1,25.8,26.5,26.5,27.4,27.3,27.2
27.4,27.4,27.3,26.7,25.9,26.1,25.8,26.5,26.5,27.4,27.3,27.2,27.1
27.4,27.3,26.7,25.9,26.1,25.8,26.5,26.5,27.4,27.3,27.2,27.1,26.7
27.3,26.7,25.9,26.1,25.8,26.5,26.5,27.4,27.3,27.2,27.1,26.7,27.4
26.7,25.9,26.1,25.8,26.5,26.5,27.4,27.3,27.2,27.1,26.7,27.4,26.8
25.9,26.1,25.8,26.5,26.5,27.4,27.3,27.2,27.1,26.7,27.4,26.8,27
26.1,25.8,26.5,26.5,27.4,27.3,27.2,27.1,26.7,27.4,26.8,27,26.2
25.8,26.5,26.5,27.4,27.3,27.2,27.1,26.7,27.4,26.8,27,26.2,25.7
26.5,26.5,27.4,27.3,27.2,27.1,26.7,27.4,26.8,27,26.2,25.7,25.8
26.5,27.4,27.3,27.2,27.1,26.7,27.4,26.8,27,26.2,25.7,25.8,26.4
27.4,27.3,27.2,27.1,26.7,27.4,26.8,27,26.2,25.7,25.8,26.4,26.5
27.3,27.2,27.1,26.7,27.4,26.8,27,26.2,25.7,25.8,26.4,26.5,26.8
27.2,27.1,26.7,27.4,26.8,27,26.2,25.7,25.8,26.4,26.5,26.8,27.4
27.1,26.7,27.4,26.8,27,26.2,25.7,25.8,26.4,26.5,26.8,27.4,26.9
26.7,27.4,26.8,27,26.2,25.7,25.8,26.4,26.5,26.8,27.4,26.9,27.2
27.4,26.8,27,26.2,25.7,25.8,26.4,26.5,26.8,27.4,26.9,27.2,26.6
26.8,27,26.2,25.7,25.8,26.4,26.5,26.8,27.4,26.9,27.2,26.6,26.7
27,26.2,25.7,25.8,26.4,26.5,26.8,27.4,26.9,27.2,26.6,26.7,26.6
26.2,25.7,25.8,26.4,26.5,26.8,27.4,26.9,27.2,26.6,26.7,26.6,25.9
25.7,25.8,26.4,26.5,26.8,27.4,26.9,27.2,26.6,26.7,26.6,25.9,25.8
25.8,26.4,26.5,26.8,27.4,26.9,27.2,26.6,26.7,26.6,25.9,25.8,26.2
26.4,26.5,26.8,27.4,26.9,27.2,26.6,26.7,26.6,25.9,25.8,26.2,25.9
26.5,26.8,27.4,26.9,27.2,26.6,26.7,26.6,25.9,25.8,26.2,25.9,25.9
26.8,27.4,26.9,27.2,26.6,26.7,26.6,25.9,25.8,26.2,25.9,25.9,26.6
27.4,26.9,27.2,26.6,26.7,26.6,25.9,25.8,26.2,25.9,25.9,26.6,27.1
26.9,27.2,26.6,26.7,26.6,25.9,25.8,26.2,25.9,25.9,26.6,27.1,26.5
27.2,26.6,26.7,26.6,25.9,25.8,26.2,25.9,25.9,26.6,27.1,26.5,27.2
26.6,26.7,26.6,25.9,25.8,26.2,25.9,25.9,26.6,27.1,26.5,27.2,26.8
26.7,26.6,25.9,25.8,26.2,25.9,25.9,26.6,27.1,26.5,27.2,26.8,26.7
26.6,25.9,25.8,26.2,25.9,25.9,26.6,27.1,26.5,27.2,26.8,26.7,26.1
25.9,25.8,26.2,25.9,25.9,26.6,27.1,26.5,27.2,26.8,26.7,26.1,25.8
25.8,26.2,25.9,25.9,26.6,27.1,26.5,27.2,26.8,26.7,26.1,25.8,25.4
